step,elapsed_sec,training_l1,valid_1_l1
0,0.0,1640480.6215318926,1443672.7198215644
50,0.5,582903.8692855792,572392.5839277718
100,1.0,370320.4585586776,480518.3330460461
150,1.3,314829.18306512106,472667.70654371905
200,1.6,287588.54336184566,471381.6624671292
250,1.9,266377.4591739178,470915.44934964564
300,2.1,247783.90483615283,471227.9084931062
