fold,train_end,val_start,val_end,train_days,val_days,n_features,model,mae,rmse,r2,method,note,delta_vs_fold_baseline_mae
tscv_4,2020-12-31,2021-01-01,2021-12-31,3103,365,123,lightgbm,475657.96074592986,693476.1801230356,0.821596617838369,core_plus_recency_profiles,core plus fold-safe recency-weighted seasonal profiles,-14900.009586157044
tscv_4,2020-12-31,2021-01-01,2021-12-31,3103,365,155,lightgbm,482440.70512649964,702510.1885408622,0.8169181714695268,deep_combo_blend,deeper blend: promo+regime+selected aux+std/rec profiles,-8117.26520558726
tscv_4,2020-12-31,2021-01-01,2021-12-31,3103,365,131,lightgbm,489473.23316320207,709073.7541358162,0.8134811161185125,core_plus_selected_aux_lags,core plus selected lagged aux signals (web/orders/returns/ship),-1084.7371688848361
tscv_4,2020-12-31,2021-01-01,2021-12-31,3103,365,119,lightgbm,490557.9703320869,699533.7510724587,0.8184662692012146,baseline_v3_core,v3 core features + known-future promo basics,0.0
tscv_4,2020-12-31,2021-01-01,2021-12-31,3103,365,130,lightgbm,490583.78902602097,701843.7005861046,0.8172653947637848,core_plus_regime_features,core plus volatility/regime trend interactions,25.818693934066687
tscv_4,2020-12-31,2021-01-01,2021-12-31,3103,365,124,lightgbm,494001.431994706,708710.4665181382,0.8136721897338195,core_plus_promo_interactions,core plus richer promo timing/intensity interactions,3443.4616626190837
tscv_5,2021-12-31,2022-01-01,2022-12-31,3468,365,128,lightgbm,558779.2488291839,743945.0849833281,0.8024534325654763,deep_combo_promo_std,core plus promo interactions plus std profiles,-13231.591206541401
tscv_5,2021-12-31,2022-01-01,2022-12-31,3468,365,124,lightgbm,565250.4081057218,762062.784537366,0.7927143505139547,core_plus_promo_interactions,core plus richer promo timing/intensity interactions,-6760.431930003455
tscv_5,2021-12-31,2022-01-01,2022-12-31,3468,365,123,lightgbm,566202.7821552118,750082.0639030039,0.7991807728474196,core_plus_recency_profiles,core plus fold-safe recency-weighted seasonal profiles,-5808.057880513486
tscv_5,2021-12-31,2022-01-01,2022-12-31,3468,365,130,lightgbm,567127.9752649658,759148.8131771028,0.7942965550923707,core_plus_regime_features,core plus volatility/regime trend interactions,-4882.864770759479
tscv_5,2021-12-31,2022-01-01,2022-12-31,3468,365,155,lightgbm,568624.6525953421,752397.5307090519,0.7979390208364432,deep_combo_blend,deeper blend: promo+regime+selected aux+std/rec profiles,-3386.1874403831316
tscv_5,2021-12-31,2022-01-01,2022-12-31,3468,365,123,lightgbm,569225.4557905082,758160.9283420957,0.7948315729707274,core_plus_std_profiles,core plus fold-safe standard seasonal profiles,-2785.3842452170793
tscv_5,2021-12-31,2022-01-01,2022-12-31,3468,365,119,lightgbm,572010.8400357253,762031.433788431,0.7927314053467415,baseline_v3_core,v3 core features + known-future promo basics,0.0
tscv_5,2021-12-31,2022-01-01,2022-12-31,3468,365,131,lightgbm,577400.0149398517,773372.2110738327,0.7865162338180112,core_plus_selected_aux_lags,core plus selected lagged aux signals (web/orders/returns/ship),5389.174904126441
