step,elapsed_sec,training_l1,valid_1_l1
0,1.2,1940771.8654486828,1699587.252362703
50,1.6,685839.7280505412,659117.9691186962
100,2.1,438925.4654638428,564102.9703505489
150,2.4,367253.16649567336,559517.3859424426
200,2.7,338668.7193613754,558944.6172375814
250,2.9,313497.8695079708,559529.9674882266
