fold,global_revenue_mae,global_cogs_mae,global_score
fold_2020,705457.7120567459,518097.31415708835,912696.6377195813
fold_2021,571120.8283938644,472145.5934897699,759979.0657897724
fold_2022,607123.0542702363,541811.6290675382,823847.7058972516
