fold,global_revenue_mae,global_cogs_mae,global_score
fold_2020,646472.5871162321,565403.3568474286,872633.9298552036
fold_2021,579711.787044318,477233.4836527599,770605.1805054221
fold_2022,614370.4223420074,588133.9319108736,849623.9951063569
