fold,solver_revenue,solver_cogs,fold_opt_revenue_mae,fold_opt_cogs_mae,fold_opt_score,w_rev_core_v3_like,w_cogs_core_v3_like,w_rev_aligned_keep_avg,w_cogs_aligned_keep_avg,w_rev_aligned_no_profiles,w_cogs_aligned_no_profiles,w_rev_aligned_recency_profiles,w_cogs_aligned_recency_profiles,w_rev_naive_lag365,w_cogs_naive_lag365
fold_2020,dirichlet_random+scipy_slsqp,dirichlet_random,625720.3039300202,554141.5094413057,847376.9077065422,0.0,0.4398134693137749,0.0,0.08994133093537478,0.6355477787943528,0.00030179742449910744,4.529017198295322e-08,0.006767115576587551,0.3644521759154752,0.46317628674976363
fold_2021,dirichlet_random,dirichlet_random,560365.7567565538,467836.7246378469,747500.4466116925,0.26067910917037007,0.0010035887190549576,0.0018993075380565262,0.160122379816773,0.19000583941253477,0.014157151823388883,0.39986263841564545,0.43539707352955914,0.14755310546339317,0.3893198061112241
fold_2022,dirichlet_random+scipy_slsqp,dirichlet_random,583571.5583249289,570884.6997649141,811925.4382308945,0.07199801377096193,0.1489659377898772,0.08392618303958578,0.0019712580779458083,0.028179275733408855,0.6965092174848319,0.7812493783503085,0.010010856861961034,0.03464714910573479,0.14254272978538407
