method,folds,mean_rec_revenue_mae,mean_rec_cogs_mae,mean_tf_revenue_mae,mean_tf_cogs_mae,score,mean_features_revenue,mean_features_cogs
baseline_keep_avg,2,607888.6679014307,516705.0028868963,508546.6980786691,451484.63599503896,814570.6690561894,121.0,100.0
keep_avg_exo_zero,2,756975.5889119417,558124.6874586635,547504.2470158159,483156.69986027805,980225.4638954072,151.0,130.0
keep_avg_exo_profile,2,1204120.581547462,1000293.0876249021,564073.0163329528,508088.21042153623,1604237.8165974226,151.0,130.0
