fold,method,n_features_revenue,n_features_cogs,tf_revenue_mae,tf_cogs_mae,rec_revenue_mae,rec_cogs_mae,score
fold_2021,baseline_keep_avg,121,100,468765.4780410429,426878.1625515515,600527.7339127166,490798.46695662674,796847.1206953673
fold_2021,keep_avg_exo_zero,151,130,515612.7983387415,456574.9477938343,849083.1682931194,543160.7549251688,1066347.4702631868
fold_2021,keep_avg_exo_profile,151,130,553735.4343562165,511775.1633808453,1348843.1610069592,1097599.1711255107,1787882.8294571633
fold_2022,baseline_keep_avg,121,100,548327.9181162952,476091.10943852644,615249.601890145,542611.5388171659,832294.2174170114
fold_2022,keep_avg_exo_zero,151,130,579395.6956928903,509738.4519267218,664868.0095307642,573088.619992158,894103.4575276275
fold_2022,keep_avg_exo_profile,151,130,574410.598309689,504401.25746222725,1059398.0020879647,902987.0041242936,1420592.803737682
