fold,revenue_mae_base,revenue_mae_rectified,cogs_mae_base,cogs_mae_rectified,score_base,score_rectified
fold_2021,546433.7659848848,566714.7691235989,484459.7770279775,494163.6618710075,740217.6767960759,764380.233872002
fold_2022,637384.415682684,649923.6827232476,559183.9108627044,567582.0759769641,861057.9800277659,876956.5131140333
