step,elapsed_sec,training_l1,valid_1_l1
0,0.0,1640500.5438420253,1444814.5960674873
50,0.5,588814.1388295343,564763.9510828655
100,1.0,385784.33367491036,477002.9920753305
150,1.3,331224.79591634544,472854.2314192189
200,1.6,306815.88636080094,473032.1424631091
