fold,log1p_revenue_mae,log1p_cogs_mae,score
fold_2020,677717.936841537,545828.1495920405,896049.1966783532
fold_2021,653114.1147983465,615371.6422247466,899262.7716882452
fold_2022,809714.9518111936,533577.6202238263,1023145.9999007242
