variant,folds,mean_mae_overall,std_mae_overall,mean_mae_revenue,mean_mae_cogs,mean_tree_lgb_share,mean_tree_xgb_share
v2_lgbm_up_more,3,825656.047189687,72891.58080250608,732564.0538462236,918748.0405331505,0.7222222222222223,0.2777777777777778
v1_lgbm_up,3,831908.0696583133,77437.93365914808,737756.9606053153,926059.1787113111,0.6857142857142856,0.31428571428571433
v3_lgbm_up_soft,3,839959.7885987848,82295.19952780618,744994.8500455838,934924.7271519856,0.6428571428571429,0.35714285714285715
baseline_861style,3,854588.2075420986,89659.75629997923,759099.9045612578,950076.5105229393,0.5714285714285715,0.4285714285714286
