fold,n_features_revenue,n_features_cogs,hybrid_revenue_mae,hybrid_cogs_mae,score
fold_2020,132,107,1954600.5675803963,1577925.602787412,2585770.808695361
fold_2021,132,107,822711.4677235152,847845.897279743,1161849.8266354124
fold_2022,132,107,802404.383839927,760538.0879000755,1106619.618999957
