fold,n_features_rev,n_features_cogs,revenue_mae,cogs_mae,score
fold_2020,144,139,748994.3328547657,600977.0941103473,989385.1704989047
fold_2021,144,139,1117100.7234518563,606708.4624855552,1359784.1084460784
fold_2022,144,139,1135622.5408959857,754568.1318003674,1437449.7936161326
