method,n_features_revenue,n_features_cogs,tf_revenue_mae,tf_cogs_mae,rec_revenue_mae,rec_cogs_mae,score
aligned_keep_avg,121,100,548327.9181162952,476091.10943852644,615249.601890145,542611.5388171659,886555.3712987279
aligned_keep_avg_selected_aux,121,100,548327.9181162952,476091.10943852644,615249.601890145,542611.5388171659,886555.3712987279
aligned_drop_avg,107,86,555892.6644398782,472319.9619627325,607588.4012328536,624119.5336938294,919648.1680797683
aligned_drop_avg_selected_aux,107,86,555892.6644398782,472319.9619627325,607588.4012328536,624119.5336938294,919648.1680797683
