step,elapsed_sec,training_l1,valid_1_l1
0,1.3,1942381.6037498922,1700612.859392676
50,1.8,693183.6145545758,664029.3610853812
100,2.4,448819.04982020834,564618.5237836071
150,2.7,383063.3267700643,556300.660294216
200,2.9,353778.3165595373,557082.8593489723
250,3.2,326176.1810364815,558513.8619984983
