method,folds,mean_mae,std_mae,mean_rmse,mean_r2,mean_delta_vs_baseline,median_features,model,family,fold_wins,improve_folds,worsen_folds,neutral_folds,best_fold_delta,worst_fold_delta,improve_ratio,stable_candidate,rank_mean_mae
core_plus_selected_aux_lags,2,565394.206385215,83098.45709762299,763504.793121117,0.7305464635019636,-3251.3932535616623,131.0,lightgbm,aux_lags,1.0,1,1,0,-6780.684264448588,277.8977573252632,0.5,True,1
core_plus_promo_interactions,2,567042.1358125617,91102.0527553901,760936.323705633,0.7329253255423986,-1603.4638262150402,124.0,lightgbm,promo,1.0,1,1,0,-3733.5695788104204,526.64192638034,0.5,True,2
core_plus_regime_features,2,568889.5872558377,84373.13546029273,764013.5239691057,0.7294546430721538,243.98761706100777,130.0,lightgbm,regime,0.0,1,1,0,-2383.9696797503857,2871.9449138724012,0.5,True,3
baseline_v3_core,2,568645.5996387767,88089.62831078074,768736.0979783618,0.7280868171483486,0.0,119.0,lightgbm,baseline,0.0,0,0,2,0.0,0.0,0.0,False,4
