fold,global_revenue_mae,global_cogs_mae,global_score
fold_2020,707969.4300760949,577910.8536257091,939133.7715263786
fold_2021,551057.5014991598,483098.60919364693,744296.9451766186
fold_2022,593723.7630184736,551750.5719627419,814423.9918035704
