fold,horizon_days,n_models,n_features_rev,n_features_cogs,revenue_mae_raw,cogs_mae_raw,score_raw,revenue_mae,cogs_mae,score,alpha_rev,alpha_cogs
fold_2020,366,6,144,139,812677.2621468217,734900.0478753737,1106637.2812969713,812677.2621468217,734900.0478753737,1106637.2812969713,0.0,0.0
fold_2021,365,6,144,139,593463.8833274561,555891.9556193176,815820.6655751831,593463.8833274561,555891.9556193176,815820.6655751831,0.0,0.0
fold_2022,365,6,144,139,636547.767080694,580546.4718615523,868766.3558253149,614726.9042901726,539292.7541750788,830444.0059602042,1.0,0.6000000000000001
