fold,global_revenue_mae,global_cogs_mae,global_score
fold_2020,786561.44027876,582891.9925422645,1019718.2372956659
fold_2021,559125.3082486507,491185.4031395622,755599.4695044756
fold_2022,609303.8589251043,541399.7385931959,825863.7543623827
