fold,n_features_rev,n_features_cogs,smear_rev,smear_cogs,revenue_mae,cogs_mae,score,revenue_mae_naive,cogs_mae_naive,score_naive,bias_rev_pct,bias_cogs_pct
fold_2020,144,139,1.0042747884635561,1.0048454482166662,695595.5082825372,521600.3960881515,904235.6667177979,696098.5396186492,518809.81523334456,903622.465711987,-7.43709472130627,4.413549282347096
fold_2021,144,139,1.0040510006927328,1.0114633935593622,681965.2875862644,548516.9587417177,901372.0710829515,686363.0787549342,548166.6162080368,905629.7252381489,-17.3577165369184,-4.24721198734307
fold_2022,144,139,1.0085384514013485,1.0061930545751625,922166.4087312362,549393.557556152,1141923.831753697,935482.0949615758,552091.1208327708,1156318.543294684,-24.449636702902634,-5.458442903409832
