fold,global_revenue_mae,global_cogs_mae,global_score
fold_2020,744280.4968181305,575266.2723599587,974387.005762114
fold_2021,539817.6747772552,472169.6243584963,728685.5245206536
fold_2022,607299.92351303,559327.6179893533,831030.9707087714
