fold,global_revenue_mae,global_cogs_mae,global_score
fold_2020,742758.4597611177,562688.4451770734,967833.837831947
fold_2021,554142.3930514648,475586.3579586661,744376.9362349312
fold_2022,592025.2655042398,570584.1877604157,820258.9406084061
