step,elapsed_sec,training_l1,valid_1_l1
0,1.6,1941024.6538815545,1701574.2660887113
50,2.2,688201.6891192459,659398.0434400939
100,2.8,441129.02613695984,562517.5750927267
150,3.3,365743.3545258865,559482.9983964942
200,3.6,337385.86692659237,559005.2308939407
