fold,best_method,ratio_score,standard_score,best_score,ratio_rev_mean,std_rev_mean
fold_2020,standard,1989280.2925788795,1076157.948829798,1076157.948829798,3882607.076321352,3263906.3754922124
fold_2021,standard,2297386.531801295,789883.1983899226,789883.1983899226,943395.6448862394,2884336.9385650107
fold_2022,standard,1696098.4195306832,873327.2044672909,873327.2044672909,1904773.5019290787,2968652.292665553
