fold,n_features_rev,n_features_cogs,revenue_mae,cogs_mae,score
fold_2020,144,139,764341.7514329815,589389.7474361592,1000097.6504074452
fold_2021,144,139,582649.7967050943,531809.0136518094,795373.402165818
fold_2022,144,139,672556.1016559175,555427.4622464795,894727.0865545092
