fold,n_features_rev,n_features_cogs,revenue_mae,cogs_mae,score
fold_2020,126,94,687809.7307179957,638458.6736998685,943193.200197943
fold_2021,126,94,569794.2647254867,604081.3739678699,811426.8143126348
fold_2022,126,94,638098.8726738414,727890.4245463208,929255.0424923698
