fold,n_features_rev,n_features_cogs,revenue_mae,revenue_rmse,cogs_mae,cogs_rmse,score,log_rev_mae,log_cogs_mae,bias_rev_pct,bias_cogs_pct
fold_2020,144,139,729245.9533174135,1069799.2049268894,516774.5352521809,722350.4665840928,935955.7674182858,0.2644126362565484,0.22736161442174274,-7.735458671717255,2.799746232829814
fold_2021,144,139,710186.4791920237,1048494.1608278314,526848.2228052217,826238.5687122457,920925.7683141124,0.2611239292906003,0.21338397970439263,-18.43753225484782,-8.021720990474712
fold_2022,144,139,828901.7532702048,1143622.5535942107,569552.4545639111,768337.188094901,1056722.7350957692,0.2798988598165574,0.22196964413110834,-20.586279878848966,-5.1175844722238795
