fold,n_features_rev,n_features_cogs,revenue_mae,cogs_mae,score
fold_2020,197,197,916611.3523534206,639817.7599446827,1172538.4563312936
fold_2021,197,197,743714.5711659075,462731.9724571684,928807.3601487749
fold_2022,197,197,653749.3091806626,552883.6576228574,874902.7722298056
